tissueId, geneId, level, confidence, cellType 
spleen,MYD88,High,Approved,cells_in_white_pulp
stomach_1,MYD88,High,Approved,glandular_cells
stomach_2,MYD88,High,Approved,glandular_cells
testis,MYD88,High,Approved,cells_in_seminiferous_ducts
testis,MYD88,High,Approved,Leydig_cells
thyroid_gland,MYD88,High,Approved,glandular_cells
tonsil,MYD88,High,Approved,germinal_center_cells
tonsil,MYD88,High,Approved,non_germinal_center_cells
tonsil,MYD88,Medium,Approved,squamous_epithelial_cells
urinary_bladder,MYD88,Medium,Approved,urothelial_cells
vagina,MYD88,Medium,Approved,squamous_epithelial_cells
adrenal_gland,TNFRSF1B,High,Approved,glandular_cells
appendix,TNFRSF1B,Medium,Approved,glandular_cells
bone_marrow,TNFRSF1B,Medium,Approved,hematopoietic_cells
breast,TNFRSF1B,Medium,Approved,adipocytes
breast,TNFRSF1B,Medium,Approved,glandular_cells
breast,TNFRSF1B,Low,Approved,myoepithelial_cells
bronchus,TNFRSF1B,Medium,Approved,respiratory_epithelial_cells
caudate,TNFRSF1B,Low,Approved,glial_cells
cerebellum,TNFRSF1B,Low,Approved,Purkinje_cells
cerebral_cortex,TNFRSF1B,Medium,Approved,endothelial_cells
cerebral_cortex,TNFRSF1B,Low,Approved,glial_cells
cerebral_cortex,TNFRSF1B,Medium,Approved,neuropil
cervix__uterine,TNFRSF1B,Low,Approved,glandular_cells
cervix__uterine,TNFRSF1B,Medium,Approved,squamous_epithelial_cells
colon,TNFRSF1B,Medium,Approved,endothelial_cells
colon,TNFRSF1B,Low,Approved,glandular_cells
duodenum,TNFRSF1B,Low,Approved,glandular_cells
endometrium_1,TNFRSF1B,Medium,Approved,glandular_cells
endometrium_2,TNFRSF1B,Low,Approved,glandular_cells
epididymis,TNFRSF1B,Medium,Approved,glandular_cells
esophagus,TNFRSF1B,Low,Approved,squamous_epithelial_cells
fallopian_tube,TNFRSF1B,Medium,Approved,glandular_cells
gallbladder,TNFRSF1B,Medium,Approved,glandular_cells
heart_muscle,TNFRSF1B,Medium,Approved,myocytes
hippocampus,TNFRSF1B,Low,Approved,neuronal_cells
kidney,TNFRSF1B,High,Approved,cells_in_tubules
liver,TNFRSF1B,Medium,Approved,hepatocytes
lung,TNFRSF1B,Medium,Approved,macrophages
lung,TNFRSF1B,Medium,Approved,pneumocytes
lymph_node,TNFRSF1B,Low,Approved,non_germinal_center_cells
nasopharynx,TNFRSF1B,Medium,Approved,respiratory_epithelial_cells
oral_mucosa,TNFRSF1B,Medium,Approved,squamous_epithelial_cells
ovary,TNFRSF1B,Low,Approved,follicle_cells
ovary,TNFRSF1B,Medium,Approved,ovarian_stroma_cells
pancreas,TNFRSF1B,Low,Approved,exocrine_glandular_cells
pancreas,TNFRSF1B,Low,Approved,islets_of_Langerhans
parathyroid_gland,TNFRSF1B,Medium,Approved,glandular_cells
placenta,TNFRSF1B,Medium,Approved,trophoblastic_cells
prostate,TNFRSF1B,Medium,Approved,glandular_cells
rectum,TNFRSF1B,Medium,Approved,glandular_cells
salivary_gland,TNFRSF1B,Low,Approved,glandular_cells
skeletal_muscle,TNFRSF1B,Low,Approved,myocytes
skin_1,TNFRSF1B,Medium,Approved,fibroblasts
skin_1,TNFRSF1B,Medium,Approved,keratinocytes
skin_1,TNFRSF1B,Medium,Approved,Langerhans
skin_1,TNFRSF1B,Medium,Approved,melanocytes
skin_2,TNFRSF1B,Medium,Approved,epidermal_cells
small_intestine,TNFRSF1B,Low,Approved,glandular_cells
smooth_muscle,TNFRSF1B,Low,Approved,smooth_muscle_cells
soft_tissue_1,TNFRSF1B,Medium,Approved,fibroblasts
soft_tissue_2,TNFRSF1B,Medium,Approved,adipocytes
soft_tissue_2,TNFRSF1B,Medium,Approved,fibroblasts
spleen,TNFRSF1B,Low,Approved,cells_in_red_pulp
stomach_1,TNFRSF1B,Medium,Approved,glandular_cells
stomach_2,TNFRSF1B,Medium,Approved,glandular_cells
testis,TNFRSF1B,High,Approved,cells_in_seminiferous_ducts
testis,TNFRSF1B,High,Approved,Leydig_cells
thyroid_gland,TNFRSF1B,Medium,Approved,glandular_cells
tonsil,TNFRSF1B,Medium,Approved,germinal_center_cells
tonsil,TNFRSF1B,Medium,Approved,non_germinal_center_cells
tonsil,TNFRSF1B,Medium,Approved,squamous_epithelial_cells
urinary_bladder,TNFRSF1B,Medium,Approved,urothelial_cells
vagina,TNFRSF1B,Medium,Approved,squamous_epithelial_cells
adrenal_gland,TNFRSF1A,Medium,Approved,glandular_cells
appendix,TNFRSF1A,Low,Approved,glandular_cells
bone_marrow,TNFRSF1A,Low,Approved,hematopoietic_cells
breast,TNFRSF1A,Medium,Approved,glandular_cells
breast,TNFRSF1A,Medium,Approved,myoepithelial_cells
bronchus,TNFRSF1A,Medium,Approved,respiratory_epithelial_cells
caudate,TNFRSF1A,Low,Approved,glial_cells
caudate,TNFRSF1A,Medium,Approved,neuronal_cells
cerebellum,TNFRSF1A,Medium,Approved,Purkinje_cells
cerebral_cortex,TNFRSF1A,Low,Approved,endothelial_cells
cerebral_cortex,TNFRSF1A,Medium,Approved,glial_cells
cerebral_cortex,TNFRSF1A,Medium,Approved,neuronal_cells
cervix__uterine,TNFRSF1A,Medium,Approved,squamous_epithelial_cells
colon,TNFRSF1A,Medium,Approved,endothelial_cells
colon,TNFRSF1A,Medium,Approved,glandular_cells
duodenum,TNFRSF1A,Medium,Approved,glandular_cells
endometrium_1,TNFRSF1A,Low,Approved,glandular_cells
endometrium_2,TNFRSF1A,Medium,Approved,glandular_cells
epididymis,TNFRSF1A,Medium,Approved,glandular_cells
esophagus,TNFRSF1A,Medium,Approved,squamous_epithelial_cells
fallopian_tube,TNFRSF1A,Medium,Approved,glandular_cells
gallbladder,TNFRSF1A,Medium,Approved,glandular_cells
heart_muscle,TNFRSF1A,Low,Approved,myocytes
hippocampus,TNFRSF1A,Low,Approved,glial_cells
hippocampus,TNFRSF1A,Medium,Approved,neuronal_cells
kidney,TNFRSF1A,Low,Approved,cells_in_glomeruli
kidney,TNFRSF1A,Medium,Approved,cells_in_tubules
liver,TNFRSF1A,Low,Approved,hepatocytes
lung,TNFRSF1A,Medium,Approved,macrophages
lymph_node,TNFRSF1A,Medium,Approved,germinal_center_cells
lymph_node,TNFRSF1A,Low,Approved,non_germinal_center_cells
nasopharynx,TNFRSF1A,Medium,Approved,respiratory_epithelial_cells
oral_mucosa,TNFRSF1A,Medium,Approved,squamous_epithelial_cells
ovary,TNFRSF1A,Low,Approved,follicle_cells
pancreas,TNFRSF1A,Low,Approved,exocrine_glandular_cells
pancreas,TNFRSF1A,Medium,Approved,islets_of_Langerhans
parathyroid_gland,TNFRSF1A,Medium,Approved,glandular_cells
placenta,TNFRSF1A,Medium,Approved,trophoblastic_cells
rectum,TNFRSF1A,Medium,Approved,glandular_cells
salivary_gland,TNFRSF1A,Medium,Approved,glandular_cells
seminal_vesicle,TNFRSF1A,Medium,Approved,glandular_cells
skeletal_muscle,TNFRSF1A,Low,Approved,myocytes
skin_1,TNFRSF1A,Low,Approved,fibroblasts
skin_1,TNFRSF1A,Medium,Approved,keratinocytes
skin_1,TNFRSF1A,Medium,Approved,Langerhans
skin_1,TNFRSF1A,Medium,Approved,melanocytes
skin_2,TNFRSF1A,Low,Approved,epidermal_cells
small_intestine,TNFRSF1A,Medium,Approved,glandular_cells
soft_tissue_1,TNFRSF1A,Low,Approved,adipocytes
soft_tissue_1,TNFRSF1A,Low,Approved,fibroblasts
soft_tissue_2,TNFRSF1A,Low,Approved,adipocytes
stomach_1,TNFRSF1A,Medium,Approved,glandular_cells
stomach_2,TNFRSF1A,Low,Approved,glandular_cells
testis,TNFRSF1A,Medium,Approved,cells_in_seminiferous_ducts
testis,TNFRSF1A,Medium,Approved,Leydig_cells
thyroid_gland,TNFRSF1A,Low,Approved,glandular_cells
tonsil,TNFRSF1A,Medium,Approved,germinal_center_cells
tonsil,TNFRSF1A,Low,Approved,non_germinal_center_cells
tonsil,TNFRSF1A,Medium,Approved,squamous_epithelial_cells
urinary_bladder,TNFRSF1A,Medium,Approved,urothelial_cells
vagina,TNFRSF1A,Low,Approved,squamous_epithelial_cells
adrenal_gland,IL1R1,Low,Approved,glandular_cells
bone_marrow,IL1R1,High,Approved,hematopoietic_cells
cerebellum,IL1R1,Low,Approved,Purkinje_cells
cerebral_cortex,IL1R1,Low,Approved,endothelial_cells
colon,IL1R1,Medium,Approved,endothelial_cells
colon,IL1R1,Low,Approved,glandular_cells
duodenum,IL1R1,High,Approved,glandular_cells
heart_muscle,IL1R1,Low,Approved,myocytes
kidney,IL1R1,Low,Approved,cells_in_glomeruli
kidney,IL1R1,Medium,Approved,cells_in_tubules
liver,IL1R1,Low,Approved,hepatocytes
lung,IL1R1,Low,Approved,pneumocytes
pancreas,IL1R1,Low,Approved,exocrine_glandular_cells
